Sentence,Intent
me mostre a lineup atual do furia,lineup
qual a formação do furia?,lineup
quem são os membros da lineup do furia?,lineup
qual o calendário do próximo evento,schedule
quando é o próximo evento do furia,schedule
quais são os próximos eventos do furia,schedule
quando é o próximo campeonato do furia,schedule
me fala o calendário do próximo evento,schedule
quando o furia vai competir no próximo evento?,schedule
qual o calendário do próximo campeonato do furia?,schedule
quais são as datas dos próximos eventos do furia?,schedule
me mostre o calendário do próximo evento do furia,schedule
quando é o próximo torneio que o furia vai competir?,schedule
quais são os próximos campeonatos do furia?,schedule
qual o próximo campeonato do furia?,schedule
quando é o próximo evento em que o furia vai jogar?,schedule
quais são os próximos eventos de CS do furia?,schedule
me mostra o calendário do próximo evento do furia,schedule
quais são as próximas competições do furia?,schedule
qual o próximo evento do furia?,schedule
qual é o nick do fallen,player_stats
me mostra o nick do fallen,player_stats
você sabe o nick do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o nome do fallen,player_stats
me mostra o nome do fallen,player_stats
você sabe o nome do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o idade do fallen,player_stats
me mostra o idade do fallen,player_stats
você sabe o idade do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o rating 2.0 do fallen,player_stats
me mostra o rating 2.0 do fallen,player_stats
você sabe o rating 2.0 do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o dpr do fallen,player_stats
me mostra o dpr do fallen,player_stats
você sabe o dpr do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o kast do fallen,player_stats
me mostra o kast do fallen,player_stats
você sabe o kast do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o impact do fallen,player_stats
me mostra o impact do fallen,player_stats
você sabe o impact do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o adr do fallen,player_stats
me mostra o adr do fallen,player_stats
você sabe o adr do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o kpr do fallen,player_stats
me mostra o kpr do fallen,player_stats
você sabe o kpr do fallen,player_stats
quais são as estatísticas do fallen,player_stats
me mostre as estatísticas do fallen,player_stats
qual é o nick do yuurih,player_stats
me mostra o nick do yuurih,player_stats
você sabe o nick do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o nome do yuurih,player_stats
me mostra o nome do yuurih,player_stats
você sabe o nome do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o idade do yuurih,player_stats
me mostra o idade do yuurih,player_stats
você sabe o idade do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o rating 2.0 do yuurih,player_stats
me mostra o rating 2.0 do yuurih,player_stats
você sabe o rating 2.0 do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o dpr do yuurih,player_stats
me mostra o dpr do yuurih,player_stats
você sabe o dpr do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o kast do yuurih,player_stats
me mostra o kast do yuurih,player_stats
você sabe o kast do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o impact do yuurih,player_stats
me mostra o impact do yuurih,player_stats
você sabe o impact do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o adr do yuurih,player_stats
me mostra o adr do yuurih,player_stats
você sabe o adr do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o kpr do yuurih,player_stats
me mostra o kpr do yuurih,player_stats
você sabe o kpr do yuurih,player_stats
quais são as estatísticas do yuurih,player_stats
me mostre as estatísticas do yuurih,player_stats
qual é o nick do kscerato,player_stats
me mostra o nick do kscerato,player_stats
você sabe o nick do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o nome do kscerato,player_stats
me mostra o nome do kscerato,player_stats
você sabe o nome do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o idade do kscerato,player_stats
me mostra o idade do kscerato,player_stats
você sabe o idade do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o rating 2.0 do kscerato,player_stats
me mostra o rating 2.0 do kscerato,player_stats
você sabe o rating 2.0 do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o dpr do kscerato,player_stats
me mostra o dpr do kscerato,player_stats
você sabe o dpr do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o kast do kscerato,player_stats
me mostra o kast do kscerato,player_stats
você sabe o kast do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o impact do kscerato,player_stats
me mostra o impact do kscerato,player_stats
você sabe o impact do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o adr do kscerato,player_stats
me mostra o adr do kscerato,player_stats
você sabe o adr do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o kpr do kscerato,player_stats
me mostra o kpr do kscerato,player_stats
você sabe o kpr do kscerato,player_stats
quais são as estatísticas do kscerato,player_stats
me mostre as estatísticas do kscerato,player_stats
qual é o nick do chelo,player_stats
me mostra o nick do chelo,player_stats
você sabe o nick do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o nome do chelo,player_stats
me mostra o nome do chelo,player_stats
você sabe o nome do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o idade do chelo,player_stats
me mostra o idade do chelo,player_stats
você sabe o idade do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o rating 2.0 do chelo,player_stats
me mostra o rating 2.0 do chelo,player_stats
você sabe o rating 2.0 do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o dpr do chelo,player_stats
me mostra o dpr do chelo,player_stats
você sabe o dpr do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o kast do chelo,player_stats
me mostra o kast do chelo,player_stats
você sabe o kast do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o impact do chelo,player_stats
me mostra o impact do chelo,player_stats
você sabe o impact do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o adr do chelo,player_stats
me mostra o adr do chelo,player_stats
você sabe o adr do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o kpr do chelo,player_stats
me mostra o kpr do chelo,player_stats
você sabe o kpr do chelo,player_stats
quais são as estatísticas do chelo,player_stats
me mostre as estatísticas do chelo,player_stats
qual é o nick do skullz,player_stats
me mostra o nick do skullz,player_stats
você sabe o nick do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o nome do skullz,player_stats
me mostra o nome do skullz,player_stats
você sabe o nome do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o idade do skullz,player_stats
me mostra o idade do skullz,player_stats
você sabe o idade do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o rating 2.0 do skullz,player_stats
me mostra o rating 2.0 do skullz,player_stats
você sabe o rating 2.0 do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o dpr do skullz,player_stats
me mostra o dpr do skullz,player_stats
você sabe o dpr do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o kast do skullz,player_stats
me mostra o kast do skullz,player_stats
você sabe o kast do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o impact do skullz,player_stats
me mostra o impact do skullz,player_stats
você sabe o impact do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o adr do skullz,player_stats
me mostra o adr do skullz,player_stats
você sabe o adr do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
qual é o kpr do skullz,player_stats
me mostra o kpr do skullz,player_stats
você sabe o kpr do skullz,player_stats
quais são as estatísticas do skullz,player_stats
me mostre as estatísticas do skullz,player_stats
oi,greeting
olá,greeting
e aí,greeting
salve,greeting
fala aí,greeting
como vai?,greeting
tudo certo?,greeting
como você está?,greeting
"oi, tudo bem?",greeting
"olá, como vai?",greeting
como você pode me ajudar,help
quais são as suas funções,help
me fala o que você pode fazer,help
como posso usar você,help
o que você faz,help
qual é o seu trabalho,help
como posso interagir com você,help
o que posso perguntar para você,help
como você funciona?,help
me explica suas funções,help
você pode me ajudar com algo?,help
